0	90
1	90
10	69
100	80
1000	89
10000	90
10001	84
10002	90
10003	88
10004	87
10005	83
10006	87
10007	86
10008	89
10009	90
1001	87
10010	81
10011	76
10012	87
10013	85
10014	90
10015	90
10016	88
10017	73
10018	90
10019	88
1002	83
10020	88
10021	90
10022	90
10023	85
10024	80
10025	87
10026	89
10027	90
10028	90
10029	89
1003	71
10030	88
10031	70
10032	70
10033	86
10034	79
10035	90
10036	70
10037	90
10038	90
10039	90
1004	84
10040	90
10041	87
10042	79
10043	90
10044	88
10045	88
10046	83
10047	90
10048	90
10049	89
1005	71
10050	89
10051	87
10052	89
10053	89
10054	73
10055	86
10056	90
10057	85
10058	90
10059	90
1006	71
10060	89
10061	70
10062	90
10063	87
10064	90
10065	70
10066	90
10067	75
10068	90
10069	75
1007	71
10070	87
10071	83
10072	89
10073	79
10074	70
10075	88
10076	87
10077	83
10078	90
10079	70
1008	71
10080	70
10081	70
10082	90
10083	72
10084	82
10085	70
10086	90
10087	88
10088	74
10089	90
1009	87
10090	88
10091	90
10092	90
10093	89
10094	83
10095	84
10096	90
10097	90
10098	90
10099	90
101	86
1010	71
10100	90
10101	81
10102	90
10103	89
10104	88
10105	90
10106	87
10107	90
10108	90
10109	90
1011	82
10110	88
10111	86
10112	78
10113	90
10114	90
10115	82
10116	77
10117	89
10118	65
10119	90
1012	89
10120	89
10121	66
10122	70
10123	90
10124	72
10125	88
10126	80
10127	90
10128	90
10129	83
1013	81
10130	69
10131	90
10132	89
10133	90
10134	90
10135	89
10137	72
10138	84
10139	31
1014	79
10140	72
10141	67
10142	90
10143	70
10144	90
10145	86
10147	81
10148	87
10149	89
1015	71
10150	88
10151	89
10152	86
10153	80
10154	56
10155	80
10156	80
10157	77
10158	80
10159	80
1016	76
10160	56
10161	88
10162	90
10163	84
10164	90
10165	78
10166	78
10167	78
10168	78
10169	78
1017	71
10170	78
10171	78
10172	78
10173	78
10174	78
10175	78
10176	90
10177	78
10178	78
10179	78
1018	73
10180	78
10181	78
10182	78
10183	90
10184	78
10185	78
10186	78
10187	78
10188	78
10189	78
1019	89
10190	78
10191	78
10192	78
10193	78
10194	78
10195	78
10196	78
10197	79
10198	78
10199	78
102	90
1020	85
10200	78
10201	78
10202	78
10203	78
10204	78
10205	78
10206	89
10207	78
10208	78
10209	78
1021	90
10210	78
10211	78
10212	78
10213	78
10214	78
10215	88
10216	78
10217	86
10218	78
10219	78
1022	88
10220	78
10221	78
10222	78
10223	78
10224	78
10225	78
10226	78
10227	78
10228	78
10229	78
